algorithm,cost_linear,cost_quadratic,pct_delta
sa,10524.686666666666,12590.291666666666,19.626284994707678
tabu,10123.798333333334,11862.028333333334,17.169741462320047
greedy,12869.24,14613.943333333335,13.557159034514351
ils,9383.461666666668,10621.585000000001,13.194739610133214
NN,12282.271666666667,13890.015,13.089950922488134
GA,9139.066666666668,10321.336666666668,12.936441357979668
vnd,10327.088333333333,11647.186666666666,12.782870550960396
ACO,9308.998333333335,10481.213333333333,12.59227854625961
Hybrid,9523.081666666667,10718.805,12.556054596472535
Memetic,9141.726666666667,10285.555,12.512169473454682
two-opt,10324.821666666667,11579.305,12.150169502524097
MMAS,9316.33,10358.375,11.185144794141042
profit-density,13455.161666666667,14953.585000000001,11.13642013715431
cluster-first,11323.666666666666,12394.498333333331,9.456580612875674
regret,14034.218333333332,15102.131666666668,7.609353851912681
sweep,20639.355,22127.25333333333,7.209035036866854
savings,38205.513333333336,40327.67833333334,5.554604073722695
